player,team,position,scouting_report
Jackson LaCombe,Anaheim Ducks,Defence,"A top-pairing two-way defenceman who makes a big impact on the game with his mobility, puck skills, and aggressive style of play. An opportunistic player in all three zones who wants to get involved and make a big, difference-making play, and has learned how to execute at a high level. Sees the ice incredibly well on the break-out, identifying options and equally capable of advancing the puck himself or delivering a clean build-up or stretch pass. Won’t hesitate to jump up in the play but moves around well enough to give linemates the option to hit him with a pass in the neutral zone without taking himself too far out of position and leaving his partner vulnerable. Plays a suffocatingly tight gap on the rush and focuses on killing plays early, using his feet, stick, and body in tandem to take away time and space. He’s a proactive defender whose speed allows him to close out quickly and also recover when things go badly, which mitigates the risks of the plays he makes with and without the puck. His solid build makes him no slouch in front of the net and helps him win 50/50 puck retrievals with frequency. Adjustments since his days as an NCAA prospect have blown his ceiling wide open, and he has legitimate high-end #1 defenceman potential having already shown he can hold up in heavy and difficult deployment."
Jacob Trouba,Anaheim Ducks,Defence,"A veteran checking offensive defenceman whose punishing and often borderline legal bodychecks have increasingly become the focal point of his game. Diminishing mobility and his eagerness to intimidate opponents have added up to a recklessness in his defensive game where chasing hits frequently means vacating important real estate closer to the net. When his shoulder (or elbow) connects with a rushing forward it can be devastating, but the uncomfortable truth is that few defenders get walked around with the frequency that he does and his ability to defend his blueline is deteriorating rapidly. Offensively he’s willing to join the rush and has a knack for shooting for deflections and targeting open sticks in the slot, but his own shooting efficiency is poor."
Pavel Mintyukov,Anaheim Ducks,Defence,"A developing offensive defenceman who showed plenty of skill with the puck on his stick, particularly when dishing it to rushing forwards or finding linemates in dangerous areas within the offensive zone. Had a relatively low workload in transition but made clean and successful plays maintaining possession when called upon. Struggled defensively but showed a willingness to engage physically and battle for the puck despite below-average size."
Morgan Geekie,Boston Bruins,Forward,"A hard-working utility winger with some playmaking skill in transition. Not a speedy skater but works hard in the corners and makes life unpleasant for opposing defenders. Gets to the net to deflect pucks but doesn’t create a high volume of scoring chances. Can move up and down the lineup, playing a simple game alongside skilled players or bottom six grinders."
Elias Lindholm,Boston Bruins,Forward,"A complementary scoring centre. At his best, provides a stabilizing defensive presence and fills in the blanks when playing with skilled linemates while contributing in all situations. Doesn’t require a lot of time with the puck to contribute, just gets to the middle of the ice and gets open for one-time passes or to jump on rebounds and loose pucks in tight. The style gives him a high scoring upside when playing with talented linemates but gives him a low floor as well as he’s very limited in terms of what he can do on his own. Manages the puck efficiently and is a reasonably good passer but shouldn’t be expected to drive his own line."
Casey Mittelstadt,Boston Bruins,Forward,"A playmaking middle-six two-way centre. Flashes high-end upside as a playmaker, making tape-to-tape passes directly into the slot and using saucer passes to slip them through traffic. Doesn’t tend to shoot the puck unless he absolutely has to, usually right at the net-mouth. Moves the puck up-ice with possession whenever possible, making him an effective play-driving centre, and has improved his defensive game in part by increasingly avoiding risky one-on-one deke attempts that were previously a fixture of his game."
David Pastrnak,Boston Bruins,Forward,"An elite scoring winger who plays the game with almost unmatched flair and creativity. His trademark is his almost unparalleled wrist shot from the top of the circle, which has terrorized goaltenders throughout his career, but he’s also got a terrific one-timer and a superb set of hands which he uses both to create shooting space and undress opponents. Combined with decent wheels and size, this allows him to navigate the neutral zone and challenge defenders one-on-one more than anybody else in the league. Admittedly, this ambition does come at a cost and those attempts to take the tough road to the net fail at a high rate and lead to a lot of turnovers. Nonetheless, he’s an adequate defender and willing to put in the work in his own end to counter-act them. An efficient passer who totally neglects the perimeter and focuses on targeting the slot, perhaps reasoning that anyone he sets up on the outside has a lower chance of scoring there than he does."
Pavel Zacha,Boston Bruins,Forward,"A playmaking utility forward who manages the puck carefully and prefers to make the simple feed to his linemates than do anything too ambitious with it himself both in transition and the offensive zone. Not a driver by any stretch but gets where he needs to be, whether deflecting pucks at the net-mouth or one-timing pucks in the top of the slot. Active in the defensive zone retrieving loose pucks and turning them into zone exits and kills penalties, but an inconsistent defender at even strength."
Hampus Lindholm,Boston Bruins,Defence,"A smooth-skating top-pairing two-way defender who dishes out crisp break-out passes. Equally comfortable moving the puck up-ice or carrying it through the neutral zone himself. Sees the ice well in the offensive zone, swinging the puck around the perimeter or pushing deeper into the zone to create more dangerous opportunities. Uses his mobility and an active defensive stick to force opponents to dump the puck, disrupt plays, block passing lanes, and retrieve loose pucks at high rates. Can tend to try to force the issue at both ends, occasionally chasing the play when caught in the zone on defence and taking penalties (despite rarely throwing hits) and turning the puck over."
Charlie McAvoy,Boston Bruins,Defence,"An #1 two-way defenceman who is ambitious with the puck but executes at an extremely high level. A well-rounded player who moves the puck in all three zones with accuracy whether he’s launching a stretch pass from his own end, setting up a rushing forward in the neutral zone, or teeing up linemates with one-time feeds or high-danger passes in tight. A strong puck-carrier who moves up the ice quickly and rarely makes a false move in transition, starting with a knack for turning loose pucks in the defensive zone into clean exits with possession. This balanced skillset has made him one of the game’s premier drivers from the blueline. Quick to recognize and exploit any opportunity to jump up in the play, foregoing low-percentage point shots in favour of receiving passes and carrying it closer to the net for a scoring chances. Has exceptional hands and isn’t afraid to take on other defenders one-on-one, resulting on occasion in highlight reel goals. Solidly built and capable of throwing punishing body-checks."
Nikita Zadorov,Boston Bruins,Defence,"A huge and physical defence-first blue-liner. Envious physical tools include a heavy slap shot and high-end straight line skating speed. Builds up momentum carrying the puck through the neutral zone, using his hands (and stick length) to weave through opponents. Makes a solid breakout pass too and while he almost always thinks shoot-first in the offensive zone he set ups chances off the rush as well while generally avoiding turnovers. Aggressiveness and stick are mostly assets defensively, although he can at times get walked around and isn’t as agile as he is fast. When chasing the play often crosses the line of legality and gets his stick tangled up, and rarely gets the benefit of the doubt."
Zach Benson,Buffalo Sabres,Forward,"A developing playmaking winger. Despite his small size and lack of foot speed, willing to engage along the boards and pressure opposing defenders on the forecheck and has shown high defensive upside. A high-IQ passer who makes the most of his time with the puck, making controlled plays in transition and tilting the ice effectively. Taking the next step will require improving skating and getting more touches offensively."
Peyton Krebs,Buffalo Sabres,Forward,"A playmaking defensive centre who has found himself stuck in a depth role due to difficulty asserting himself offensively. Willing to do the physical work to keep play along the boards and away from his goal and separates opponents from pucks at a strong rate, but is not a threat to shoot or score and hasn’t established himself as a top-six quality passer either."
Ryan McLeod,Buffalo Sabres,Forward,"A two-way centre who is one of the fastest skaters in the sport and uses it to win races to the puck all over the ice. Forces opposing defenders to back off off the rush and enters the zone with possession at a high rate. While he has good hands, he’s still working out how best to take advantage of the space he creates, although he has taken significant strides as a playmaker  A prolific puck thief who rarely turns the puck over himself and is an elite penalty killer. Average in the dot."
Josh Norris,Buffalo Sabres,Forward,"An efficient scoring centre with the tools to be more than that. Not a volume shooter at all, but converts on his chances at a consistently high rate due in part to his selectiveness. On the powerplay, he’s a major one-time option, although it remains to be seen whether the ability to overpower goaltenders with shots from the circle can return after three shoulder surgeries; for now, he’s made up for that by venturing closer to the cage and tapping in passes instead. At even strength, he has a tricky shot that he prefers to keep along the ice but does a lot of his damage on net-front deflections instead of perimeter snipes. Passing has never been a forté of his and most of his feeds are to the point. The rest of his tool-kit is above-average: he’s got breakaway footspeed, a strong defensive stick, solid physicality, and a willingness to block shots. Ideally with fewer interruptions from injury, all of this will come together to make him the high-end two-way centre he seemed primed to be as a rookie."
Jack Quinn,Buffalo Sabres,Forward,"A developing dynamic scoring winger who shows creativity with the puck, manipulates defenders with timing, and can put the puck in the net from anywhere. A shoot-first player who gets open in the outer slot for one-timers but a crafty passer as well off the rush. Defence is a work in progress, but stays above-water and kills penalties."
Tage Thompson,Buffalo Sabres,Forward,"A star scoring centre with a unique blend of size, hands, and finishing touch. Torments opposing defenders on the rush by drawing them in and then deking past them with his long stick, but if they leave him any space in the middle of the ice they risk exposing their goaltender to one of the best shots in hockey. Has shown upside as a playmaker but will always be a shoot-first player. Has a powerful skating stride despite his length. Performs best when kept away from traditional power-forward role along the boards and allowed to wait for the puck to come to him from forechecking wingers as opposed to chasing it down himself; unfortunately, needing to play centre exposes his near-league-worst faceoff ability."
Alex Tuch,Buffalo Sabres,Forward,"A playmaking top six winger who generates most of his offence off the rush. A quick skater who’s willing to crash the net for rebounds, he doesn’t throw the body but uses his 6”4 frame to win pucks and get to dangerous areas of the ice. Moves the puck up the ice swiftly in transition and finds open teammates in the slot. Defensive impact is less consistent but at his best he’s a committed forechecker and possession driver."
Jason Zucker,Buffalo Sabres,Forward,A veteran scoring winger who despite having lost the separating speed that made him a top-line sniper in his prime remains a solid creator of chances and goals when paired with a talented playmaker. Possesses a great one-timer from the outer slot but also willing to go to the net where he has good hands and finishing touch. Less of a factor defensively but brings a bit of physicality.
Rasmus Dahlin,Buffalo Sabres,Defence,"A star two-way left defenceman with elite puck skills, including exceptional ability to transport the puck from his own zone to the offensive zone using both his deceptive skating and passing ability. Once set up, controls play in the offensive zone, walking the line and distributing the puck from the point, pushing deeper towards the slot to get dangerous chances himself, or using his bomb of a point shot. An underrated defender who aggressively kills plays with terrific stick-checks, closes passing lanes, and actively retrieves loose pucks to get the break-out started. Contributes some physicality, but despite his agility lacks straight-line footspeed and takes more holding and hooking penalties than he ought to."
Owen Power,Buffalo Sabres,Defence,"A developing two-way puck-moving left defenceman who despite his size plays a cerebral game closer to the likes of Adam Fox than Chris Pronger. Takes almost no slap shots or one-timer point shots, preferring to carry the puck deeper into the offensive zone or distribute it to his defensive partner. Very active in transition; few defencemen pass the puck out of the defensive zone or carry it into the offensive zone with as much frequency. That process starts with a heavy workload in his own end, where Power has a long and effective stick and frequently chases pucks along the wall despite rarely throwing body checks. Despite a low top skating speed, moves efficiently up the ice and joins the rush. Can tend to be a bit soft in his own zone, losing battles for position that he should be dominating given his size and practically never throwing the body."
Bowen Byram,Buffalo Sabres,Defence,"A developing offensive defenceman who often seems to want to play like a forward. A swift skater with a terrific shot and the desire to carry the puck to dangerous areas, he’s shown flashes of high-end skill when it comes to carrying the puck through the neutral zone and taking control of the game in the offensive zone. But he’s struggled to assert that same impact and instead has become a drag on possession, disengaged in his own zone while playing recklessly elsewhere. There’s a high ceiling and low floor."
Mattias Samuelsson,Buffalo Sabres,Defence,"A defensive defenceman who plays a low-maintenance game that involves very little time with the puck. Prefers to make a pass out of the defensive zone rather than chipping it out, but doesn’t have the puck-moving skills to pull it off without turning it over. A strong and quick skater who plays a tight gap off the rush and is willing to engage physically along the boards. A non-factor in the offensive zone, except to tee up his defensive partners for one-timers."
Mikael Backlund,Calgary Flames,Forward,"A defensive match-up centre, capable of playing heavy unpleasant minutes even in his mid-30s. Surprisingly active with the puck, especially in transition where he uses above-average skating and passing ability to get the puck up ice and create most of his offence. Generates shots from the perimeter but struggles to finish his opportunities. A high-end chance suppressor thanks to strong puck management, a smart defensive stick, and willingness to engage on the forecheck. Draws few penalties."
Blake Coleman,Calgary Flames,Forward,"A hybrid checking line utility scoring winger who can still create offensively even if he doesn’t play as fast and active on the forecheck as he used to. An opportunistic counter-attack player who can be lethal shorthanded and with the net empty, although his finishing touch is inconsistent from year to year. Despite sub-six foot frame, plays pretty physically and takes too many penalties as a result."
Jonathan Huberdeau,Calgary Flames,Forward,"A one-dimensional playmaking winger whose cerebral extra-pass game requires linemates who can think the game at a high level and finish his high-danger passes. At his best, few are capable of sending passes into the slot like he can, and on occasion he can put the puck in the net, but in his 30s he’s had issues creating the quantity of scoring chances required to compensate for his lack of footspeed and lack of defensive involvement."
Nazem Kadri,Calgary Flames,Forward,"A steady pass-first top six centre who loves to have the puck on his stick, take on defenders one-on-one, and run the offence. Willing to create offence from anywhere in the zone, and one of the most prolific generators of shots and tips from the outer slot as well as maintaining possession by feeding his blueliners for point shots. A well below-average skater, not a brilliant defender, and relatively disengaged physically and along the walls at this point, but moves the puck up the ice at an elite rate, avoids turnovers well, and has always been one of the best penalty drawers in the NHL."
Andrei Kuzmenko,Calgary Flames,Forward,"A skilled net-front winger who makes up for near league-worst skating and physicality through sheer craftiness. Despite a very low quantity of puck touches, he has excellent hands (especially in tight) and the finishing touch to take advantage of the extra space he creates by deking defenders and goalies. One of the most efficient finishers in hockey due in part to a total refusal to shoot from long range. You’ll almost never see him throw a check or battle on the boards."
Martin Pospisil,Calgary Flames,Forward,"A physical winger (and occasional centre) who plays a reckless wrecking-ball dump-and-chase-and-forecheck game. High-end speed combine with a willingness to fly into corners and chase hits to make him one of the game’s most effective puck retrievers and most prolific takers of minor and major penalties. Possesses sneaky offensive skill, especially near the net where his passing ability suggests the potential for a greater offensive role in the future."
Yegor Sharangovich,Calgary Flames,Forward,"A one-dimensional scoring forward (usually a winger but very occasionally a centre) who despite occasionally contributing on the forecheck or along the walls can most often be found waiting for the puck around the net-front. Has a broad range of tools for scoring goals, including tips, one-timers, and one of the few wrists shots in the league that can pretty reliably beat set goalies from range. Weak defensively, a non-factor physically, and below-average both in terms of skating and workload with the puck."
Connor Zary,Calgary Flames,Forward,"A young pass-first two-way forward who puts in the hard work on the forecheck and showed a willingness to absorb contact and get to the net. An efficient scorer who produces from within the blue paint, often with a defender draped over him, and likes to shoot from distance. Has terrific hands which he uses to counter-act below-average skating."
Rasmus Andersson,Calgary Flames,Defence,"A big-minute right-handed offensive defenceman who passes the puck effectively in the offensive zone at 5-on-5, although more often D-to-D and around the perimeter than deeper near the net. Active in transition but more often as a puck carrier on zone entries than as an ambitious puck-mover from his own zone. This, combined with a fairly straightforward net-front game in his own end, makes him better suited to an ambitious puck-moving partner who’s active on the walls in his own zone than a stay-at-home linemate. Plays a very soft gap off the rush to protect the middle of the ice, rolling the red carpet for forwards trying to enter the Flames zone with possession, but gives up chances at a pretty high rate anyway."
Kevin Bahl,Calgary Flames,Defence,"A low-event stay-at-home defenceman who uses imposing size and a long stick to disrupt plays in his own zone at even strength and on the powerplay. Can make a break-out pass if needed but not active in transition. Offensive game consists mainly of point shots. Not one of the most prolific body-checkers in the NHL but takes a lot of holding, interference, and roughing minor penalties."
Jake Bean,Calgary Flames,Defence,"A fringe defenceman with some flashes of skill with the puck and solid skating counteracted by a high turnover rate, lack of physicality, and spotty puck-moving. Establishing himself as more than a depth option would require expanding his play with the puck, especially in transition."
MacKenzie Weegar,Calgary Flames,Defence,"An adventurous two-way defenceman who wants to be involved in everything that happens on the ice. Extremely active with the puck, an elite puck-mover in transition, eager to join the rush or jump up in the cycle, first to loose pucks in the defensive zone, an active and ambitious play-killer and aggressive rush defender. Few defenders create as much offence from the point both by shooting and setting up one-timers, although production (and especially scoring) has been pretty inconsistent. While his style can on occasion make mistakes catastrophic, his failure rate is relatively low and throughout his career he’s been a very strong scoring chance suppressor."
Sebastian Aho,Carolina Hurricanes,Forward,"A number one two-way centre who contributes all over the ice in all situations. A jack-of-all-trades who’s terrific in every area of the game except for physicality. A versatile scorer who can put the puck in the net off one-timers from distance, rush plays, by going to the slot with the puck on his stick or to receive a pass, and by crashing the crease for loose pucks. A clever player who gets himself to the right spot at the right time. A superb passer who executes clean feeds across the crease and give-and-go plays, often carrying the puck in himself and finding a streaking linemate at just the right time."
Jackson Blake,Carolina Hurricanes,Forward,"A developing playmaking winger with a high motor and confidence with the puck in the offensive zone. Overcomes a lack of straight-line speed and size using creativity and stick-handling, absorbing contact and winding around the perimeter to open up shooting and passing lanes. Has a shot that can beat goalies off the rush and gets to the slot for one-timers but is especially gifted as a passer, giving linemates cleverly-timed feeds through the slot. Works hard on the forecheck to maintain possession and disrupt plays."
Nikolaj Ehlers,Carolina Hurricanes,Forward,"A dynamic first line scoring winger who carries the puck from end to end with tremendous speed and control. Loves to shoot the puck from long-range, using his skating ability to pull goalies out of position and often swooping across the width of the offensive zone to whip a wrist shot from the middle. Can score plenty of different ways including an old-school clapper from the wing. A shoot-first player but a great passer as well who moves the puck well off the rush and has a great sense of where his linemates are as he navigates the offensive zone. Won’t be in the Selke conversation but is very involved in his own end retrieving loose pucks and forcing turnovers and turning those plays into clean zone exits; that said, he won’t be caught dead throwing a hit or battling for a puck along the boards."
Taylor Hall,Carolina Hurricanes,Forward,"A veteran rushing playmaking winger who uses his speed and skating to create offence. SKates through the neutral zone with possession of the puck, using his quick feet and soft hands to navigate through defenders and create rush chances or establish offensive zone possession. A prolific passer but not an especially flashy one; moves around the zone looking for short area passes, understanding the importance of one-timers and changes of angle to open up space in the net. Despite star pedigree, willing to chase pucks, dig them out along the boards, and crash the net. Has breakaway speed but not finishing touch, and rarely beats goalies clean. A plus defender when fully engaged as a forechecker."
Jesperi Kotkaniemi,Carolina Hurricanes,Forward,"A middle-six two-way centre who shows flashes of the high-end skill he was drafted for but not with enough frequency to move permanently up the lineup. Above-average in various aspects of the game, such as carrying the puck in transition, passing the puck in the offensive zone, and firing the puck (as long as he has a lot of time and space), but lacks the dynamic element to be a true difference-maker at this point."
Jordan Martinook,Carolina Hurricanes,Forward,A third-line checking winger whose energetic forechecking game allows him to move around the lineup when needed. Solid straight-line speed and a high motor make him a menace for opposing defenders trying to retrieve a loose puck or make a clean break-out pass. Not a creative player with the puck but can make the straightforward play back up to the point to maintain possession and has a knack for getting his stick on point shots and tracking down rebounds. A helpful defensive presence at even strength and the penalty kill.
Seth Jarvis,Carolina Hurricanes,Forward,"A skilled forechecking winger who crashes the net and creates shots from in tight. Plays a hard-nosed game in all areas of the ice despite his lack of size, forechecking hard, winning battles, and absorbing abuse in the slot. Keeps his stick on the ice in the blue paint to receive passes and jam at rebounds, and provides a good screen and tip target on extended possessions and the powerplay. Has a nice shot from the outer slot, especially off the rush, but his finishing touch varies pretty dramatically. Similarly, dishes the puck very well in transition, delivering beautiful saucer passes through the slot, although his passing game is generally less ambitious and more focused on funneling pucks to the point or the half boards out of a puck retrieval."
Jordan Staal,Carolina Hurricanes,Forward,"A veteran bottom-six shut-down centre who plays a risk-averse, deliberate brand of hockey at both ends of the ice. Uses his big and sturdy frame to protect the puck and rarely turns it over, focusing on making the safe play out of his defensive zone or up to the point in the offensive zone rather than making more high-risk, high-reward moves. Boasts a terrific defensive stick and works hard on the forecheck and along the boards to disrupt plays and help his team maintain possession. Establishes a presence in the slot as a screener and tipper. A non-factor in transition and off the rush."
Logan Stankoven,Carolina Hurricanes,Forward,"A developing offensive forward who makes up for lack of size and separating foot-speed with a tenacious, energetic, up-tempo game. Especially dangerous off the rush, where his creativity and shot make him a consistent threat to score. Despite being only 5’8, he doesn’t hesitate to crash the net and be the first to a loose puck even when he’ll inevitably be punished for it. Draws plenty of penalties as a result."
Andrei Svechnikov,Carolina Hurricanes,Forward,"A skilled top-six winger with terrific tools and offensive ability but issues with consistency, finishing, defence, and discipline. Uses his 6’3 frame and powerful stride effectively to protect the puck and navigates in transition using his hands to beat opposing defenders to the outside and cut to the slot. Can bully his way around the offensive zone and thrives in extended offensive zone sequences when he can retrieve rebounds and loose pucks and assert his presence in the slot. Has a heavy shot which he uses liberally from the perimeter with not a ton of success. Plenty of passing skill as well. Not much of a factor defensively despite some physicality and tenacity on the forecheck, and has a bad habit of taking dumb penalties. Should be more productive than he has been throughout his career."
Jaccob Slavin,Carolina Hurricanes,Defence,"An elite number one defenceman who specializes in defending one-on-one and pushing play away from his net. Endlessly creative when it comes to finding ways to disrupt opponents, blending his quick feet and even quicker stick to close out rapidly, clamping down pass attempts not only by blocking and swatting but also by sprawling out and using his legs and hands. Once he gets the puck loose, he can make the right simple play to get it out of danger and his first step is fast enough that he can often head up-ice with it himself. Possesses a serviceable offensive skill-set and can swing the puck around the zone and get shots through, but his defensive game will always be the main attraction."
Shayne Gostisbehere,Carolina Hurricanes,Defence,"A crafty offensive defenceman who controls and moves the puck with skill and creativity. Not a fast or especially agile skater but uses stick-handling and poise to navigate the puck out of trouble and precise and versatile passing to get it to his forwards cleanly. A good decision-maker with the puck under pressure who can confidently execute an evasive move instead of forcing a bad play. Similarly assertive with the puck at the point, drifting towards the centre of the blueline and filtering hard shots through traffic. Toys with wingers defending the point by faking shots and passes and often just walking around them. Typically needs to be sheltered defensively due to his lack of size, speed, and awareness in his own end, but he can tilt the ice well against lesser competition."
Sean Walker,Carolina Hurricanes,Defence,"A mobile offensive defenceman with explosive skating ability and skill with the puck on his stick in transition and in the offensive zone. Compensates for lack of size by taking away space and using his stick to sweep away pucks, although he’s vulnerable to higher-level opponents. Can make the heads-up play to carry the puck out of danger and get the rush started. K’Andre Miller A toolsy two-way defenceman whose combination of size, reach, and skating ability gives him a lot of upside as a defender. Has generally held up well in difficult match-up minutes at even strength and the penalty kill, including with partners that leave him a bit vulnerable, but can get caught chasing or drifting out of position, exposing lanes to the net. An unexceptional transition player out of his own end but can jump up to help gain the offensive zone. Once there, moves the puck but moreso around the perimeter than into dangerous areas. Nice finishing touch but doesn’t shoot the puck much."
Connor Bedard,Chicago Blackhawks,Forward,"A developing scoring centre who’s shown flashes of elite skill and the ability to create quality offence without much help. Boasts a special wrist shot with a deceptive release and pin-point accuracy, although he’s still working out how to get the space to use it against NHL defenders and goalies. That said, opponents respect that shot so much that they gravitate towards him, especially on the man advantage, which he can exploit with his playmaking skill. He’s an extremely high-I.Q. passer who understands the value of manipulation and constantly keeps defenders guessing whether he’s going to dish it until it’s too late. Cheeky short-range saucer passes are his favourite, especially in odd-man situations. Already one of the most skilled players in the league at entering the offensive zone with possession and unlike some similar young forwards in the past, he didn’t have an issue turning those entries into rush opportunities. His main issue at this point is that he can struggle to dictate play given his lack of foot-speed and size, which could cap his upside relative to similar-pedigree peers. That said, he has some grit and snarl to him and uses his strong frame to protect pucks; nonetheless, by no means a forechecker or board battler. Defence overall is a work in progress to say the least."
Tyler Bertuzzi,Chicago Blackhawks,Forward,"A pesky net-front top six winger who mixes forechecking mayhem and passing skill to create offence in tight. Scores almost all his goals from within a few feet of the blue paint on extended offensive zone possessions, keeping his stick on the ice and providing a target for high-danger passes and deflections. Not a pure mucker though, and even when playing the garbage-man role can make bang-bang passes into the slot with not a lot of space to work with. Can get caught deep in the zone and quite turnover-prone, an especially troubling defensive habit due to his poor foot-speed. Andrei Burakovsky A scoring winger who, when he’s on, can put the puck in the net with high efficiency, although his lack of volume limits his goal totals. Boasts a wicked wrist shot and has the hands to gain extra time and space to get it off. Also a significant one-timer threat as a lefty who plays mostly on the right wing, but doesn’t use it too often and prefers to hold the puck for a second before putting it on net. A dual threat on offence who carries the puck in transition and attacks off the rush, picking corners himself or using strong passing skills to force goalies to move laterally. Has excellent hands which he uses to manipulate opposing defenders and goalies alike. Has lost a bit of a step in recent years and struggles on the defensive side of the puck."
Jason Dickinson,Chicago Blackhawks,Forward,"A third line workhorse shut-down centre who disrupts skilled opponents through physicality and a superb defensive stick. Battles for pucks along the wall, kills penalties, and has steadily improved in the faceoff dot over the years. Quite limited offensively, mostly playing a chip-and-chase game, but flashed some long-range sniping with a curl-and-drag wrist shot."
Nick Foligno,Chicago Blackhawks,Forward,"A hard-working veteran defensive winger. Makes up in physicality what he lacks in skating speed, engaging with opponents both with his stick and plenty of body-checks. Puts in effort in his own end of the ice to retrieve pucks and start the break-out, but unsurprisingly his instinct is to make the chip-and-chase play more often than not. Can plug in higher up the lineup, playing a complementary game and crashing the net, but probably best-suited to a shutdown line."
Ilya Mikheyev,Chicago Blackhawks,Forward,"A shot-first winger who creates chances in the net-front, from the center lane, and off the rush. A knee injury in 2022 took a big chunk out of his footspeed, which was previously the focal point of his game; it remains to be seen whether he can regain it. Despite not being able to move as quickly as before, he still does most of his damage in transition and has the instincts to get to the right spots to grab passes and sneak behind defences. While he’s overall graded out well as a finisher, he’s undeniably streaky and has a bad habit of shooting from a bit too far out on squared-up goalies. A nose for the net and strong hand-eye in front add another dimension to his game."
Teuvo Teravainen,Chicago Blackhawks,Forward,"A versatile two-way playmaking winger who contributes in all situations, especially on the penalty kill where he’s one of the more effective forwards in the game. Despite being one of the slowest skaters in the league and spending very little time with the puck, he’s a stabilizing presence whether on a scoring or shutdown line that works hard on the forecheck, chases down loose pucks in both zones, and funnels pucks from deep in the zone up to the point to maintain possession. A pass-first player but has a sneaky great one-timer from the right wing; on almost every one of his goals, the puck is in the net within a second of it hitting his blade."
TJ Brodie,Chicago Blackhawks,Defence,"A veteran defensive defenceman with some puck-moving ability. For years one of the most stabilizing defenders in the league, making up for total lack of physicality with smart positioning and one of the league’s best defensive sticks, but rapidly-declining skating appeared to completely compromise his game almost overnight as he started getting walked and his confidence to make safe plays with the puck collapsed. At his best, provides a safety blanket to skilled linemates and moves the puck without wasting possessions on doomed point shots; at his worst, doesn’t provide much of anything."
