,Player,Position,Height,Weight,Draft Year,2024-2025 Leagues,2024-2025 Team,NHL Rights,2025 NHL Equivalency,Star Probability,NHLer Probability
17,Konsta Helenius,F,"5'11""",190,1,"wjc-20, ahl",Rochester Americans,Buffalo Sabres,17.36,45.42%,86.81%
18,Artyom Levshunov,D,"6'2""",209,1,"ahl, nhl",Rockford IceHogs,Chicago Blackhawks,17.06,43.05%,99.58%
19,Daniil But,F,"6'6""",216,2,khl,Lokomotiv Yaroslavl,Arizona Coyotes,32.81,41.87%,99.27%
5,Cole Reschny,F,"5'10""",187,0,"wjc-18, whl",Victoria Royals,-,17.23,41.8%,81.87%
21,Cole Eiserman,F,"6'0""",196,1,"wjc-20, ncaa",Boston Univ.,New York Islanders,15.79,39.86%,81.23%
22,Igor Chernyshov,F,"6'3""",205,1,ohl,Saginaw Spirit,San Jose Sharks,28.25,38.68%,97.0%
6,Jake O'Brien,F,"6'2""",170,0,ohl,Brantford Bulldogs,-,17.54,38.28%,89.89%
24,Sam Dickinson,D,"6'3""",209,1,"wjc-20, ohl",London Knights,San Jose Sharks,18.65,36.13%,99.76%
25,Liam Greentree,F,"6'3""",216,1,ohl,Windsor Spitfires,Los Angeles Kings,21.97,35.75%,94.14%
7,Benjamin Kindel,F,"5'10""",181,0,"wjc-18, whl",Calgary Hitmen,-,17.49,35.24%,80.17%
27,David Reinbacher,D,"6'2""",194,2,ahl,Laval Rocket,Montreal Canadiens,15.97,34.94%,88.39%
8,Ivan Ryabkin,F,"5'11""",209,0,"ushl, vhl, mhl",Muskegon Lumberjacks,-,10.94,33.82%,63.83%
29,Andrew Cristall,F,"5'10""",183,2,whl,totals,Washington Capitals,26.83,33.49%,88.13%
30,Marco Kasper,F,"6'1""",203,3,nhl,Detroit Red Wings,Detroit Red Wings,39.4,31.15%,95.68%
31,Axel Sandin-Pellikka,D,"5'11""",185,2,"wjc-20, shl",Skellefteå AIK,Detroit Red Wings,29.55,30.29%,99.51%
9,Victor Eklund,F,"5'11""",170,0,"allsvenskan, wjc-20",Djurgårdens IF,-,20.93,27.68%,78.61%
33,Berkly Catton,F,"5'10""",174,1,"wjc-20, whl",Spokane Chiefs,Seattle Kraken,20.72,27.47%,76.91%
34,Alex Pashin,F,"5'8""",181,5,khl,Spartak Moskva,Carolina Hurricanes,46.28,24.7%,45.32%
35,Frank Nazar,F,"5'10""",190,3,"ahl, nhl",Chicago Blackhawks,Chicago Blackhawks,39.17,24.68%,63.63%
36,Denton Mateychuk,D,"5'11""",185,3,"ahl, nhl",Columbus Blue Jackets,Columbus Blue Jackets,25.89,23.57%,91.95%
37,Dalibor Dvorsky,F,"6'1""",205,2,"wjc-20, ahl",Springfield Thunderbirds,St. Louis Blues,24.78,23.03%,89.69%
38,Grigori Kuzmin,F,"5'10""",194,4,"khl, vhl",SKA St. Petersburg,-,39.04,22.55%,82.72%
39,Anton Silayev,D,"6'7""",207,1,khl,Torpedo Nizhny Novgorod,New Jersey Devils,12.05,22.42%,93.76%
10,Carter Bear,F,"6'0""",179,0,whl,Everett Silvertips,-,16.96,22.38%,67.31%
41,Yegor Surin,F,"6'2""",198,1,"khl, mhl",Lokomotiv Yaroslavl,Nashville Predators,20.49,22.03%,89.43%
42,Lenni Hameenaho,F,"6'1""",185,2,liiga,Ässät,New Jersey Devils,31.82,20.67%,93.91%
43,Jiri Kulich,F,"6'1""",185,3,nhl,Buffalo Sabres,Buffalo Sabres,31.74,19.82%,95.08%
44,Gabe Perreault,F,"5'11""",179,2,"wjc-20, ncaa, nhl",Boston College,New York Rangers,20.07,18.81%,86.46%
45,Terik Parascak,F,"6'0""",181,1,whl,Prince George Cougars,Washington Capitals,16.1,18.14%,64.6%
11,Malcolm Spence,F,"6'2""",201,0,ohl,Erie Otters,-,13.27,17.73%,56.79%
47,Carter Yakemchuk,D,"6'4""",207,1,whl,Calgary Hitmen,Ottawa Senators,10.14,17.61%,85.99%
48,Quentin Musty,F,"6'2""",201,2,ohl,Sudbury Wolves,San Jose Sharks,21.12,17.61%,91.04%
49,Cole Hutson,D,"5'10""",165,1,"wjc-20, ncaa",Boston Univ.,Washington Capitals,21.85,17.43%,99.66%
50,Vadim Moroz,F,"6'2""",183,3,khl,Dinamo Minsk,Arizona Coyotes,42.19,17.08%,92.97%
51,Luca Cagnoni,D,"5'9""",181,2,"ahl, nhl",San Jose Barracuda,San Jose Sharks,26.06,16.91%,96.45%
52,Jani Nyman,F,"6'4""",220,3,"ahl, nhl",Coachella Valley Firebirds,Seattle Kraken,27.1,16.5%,95.81%
53,Vasili Atanasov,F,"5'11""",152,4,khl,Torpedo Nizhny Novgorod,-,37.54,15.8%,91.65%
54,Michael Hage,F,"6'1""",190,1,ncaa,Univ. of Michigan,Montreal Canadiens,16.37,15.43%,66.18%
12,Roger Mcqueen,F,"6'5""",192,0,whl,Brandon Wheat Kings,-,13.63,14.98%,64.81%
56,Henry Mews,D,"6'1""",183,1,ohl,totals,Calgary Flames,14.25,14.34%,91.86%
57,Jesse Kiiskinen,F,"6'1""",190,2,"wjc-20, liiga",HPK,Nashville Predators,32.95,13.47%,88.14%
58,Mikhail Ilyin,F,"6'0""",181,2,khl,Severstal Cherepovets,Pittsburgh Penguins,29.66,13.02%,92.89%
59,Danila Yurov,F,"6'1""",176,3,khl,Metallurg Magnitogorsk,Minnesota Wild,34.39,12.72%,94.31%
60,Beckett Sennecke,F,"6'4""",194,1,ohl,Oshawa Generals,Anaheim Ducks,18.14,12.66%,74.17%
61,Joel Nystrom,D,"6'2""",174,5,shl,Färjestad BK,Carolina Hurricanes,24.56,12.6%,42.35%
13,Brady Martin,F,"6'0""",187,0,"wjc-18, ohl",Soo Greyhounds,-,15.19,12.57%,57.0%
63,Tij Iginla,F,"6'0""",194,1,whl,Kelowna Rockets,Utah Mammoth,17.65,12.39%,72.46%
64,Ilya Protas,F,"6'5""",201,1,ohl,Windsor Spitfires,Washington Capitals,24.01,12.08%,93.73%
65,Leon Muggli,D,"6'1""",176,1,"wjc-20, nla",EV Zug,Washington Capitals,10.67,11.58%,48.93%
66,Ryan Leonard,F,"6'0""",192,2,"wjc-20, ncaa, nhl",Boston College,Washington Capitals,20.4,11.42%,72.77%
67,Michael Brandsegg-Nygard,F,"6'1""",207,1,shl,Skellefteå AIK,Detroit Red Wings,12.15,11.22%,34.44%
68,Bradly Nadeau,F,"5'11""",172,2,"wjc-20, ahl",Chicago Wolves,Carolina Hurricanes,27.48,11.0%,79.47%
14,Kashawn Aitcheson,D,"6'1""",198,0,ohl,Barrie Colts,-,10.89,10.53%,83.7%
70,Seamus Casey,D,"5'10""",181,3,"ahl, nhl",Utica Comets,New Jersey Devils,27.97,10.31%,87.86%
71,Vitali Pinchuk,F,"6'3""",203,5,khl,Dinamo Minsk,-,41.23,10.06%,71.09%
72,Jackson Blake,F,"5'11""",179,4,nhl,Carolina Hurricanes,Carolina Hurricanes,34.85,9.95%,66.7%
73,Andrew Basha,F,"6'0""",187,1,whl,Medicine Hat Tigers,Calgary Flames,14.61,9.94%,35.34%
74,Matthew Poitras,F,"5'11""",181,3,"ahl, nhl",Providence Bruins,Boston Bruins,30.29,9.92%,82.74%
75,Luca Del Bel Belluz,F,"6'1""",185,3,"ahl, nhl",Cleveland Monsters,Columbus Blue Jackets,30.9,9.91%,57.32%
76,Matthew Savoie,F,"5'9""",179,3,ahl,Bakersfield Condors,Buffalo Sabres,26.13,9.73%,46.88%
15,Ethan Wyttenbach,F,"5'10""",181,0,ushl,Sioux Falls Stampede,-,13.6,9.65%,31.37%
78,Bogdan Konyushkov,D,"6'0""",172,4,khl,Torpedo Nizhny Novgorod,Montreal Canadiens,16.06,9.58%,8.47%
16,Jackson Smith,D,"6'3""",190,0,"wjc-18, whl",Tri-City Americans,-,9.08,9.34%,73.77%
17,Justin Carbonneau,F,"6'1""",192,0,qmjhl,Blainville-Boisbriand Armada,-,13.24,9.31%,39.41%
18,Lynden Lakovic,F,"6'4""",190,0,whl,Moose Jaw Warriors,-,14.3,9.09%,56.77%
82,Koehn Ziemmer,F,"6'1""",216,2,whl,Prince George Cougars,Los Angeles Kings,13.48,8.94%,36.17%
19,Cameron Schmidt,F,"5'7""",157,0,"wjc-18, whl",Vancouver Giants,-,13.94,8.87%,20.75%
20,Caleb Desnoyers,F,"6'2""",172,0,qmjhl,Moncton Wildcats,-,13.84,8.85%,50.55%
85,Mackie Samoskevich,F,"5'11""",181,4,nhl,Florida Panthers,Florida Panthers,35.31,8.72%,44.77%
86,Maxim Beryozkin,F,"6'4""",212,5,khl,Lokomotiv Yaroslavl,Edmonton Oilers,40.27,8.56%,81.29%
87,Matthew Wood,F,"6'4""",205,2,"ncaa, nhl",Univ. of Minnesota,Nashville Predators,15.59,8.54%,55.67%
88,Riley Heidt,F,"5'11""",179,2,whl,Prince George Cougars,Minnesota Wild,17.38,8.19%,49.42%
21,Nathan Behm,F,"6'2""",198,0,whl,Kamloops Blazers,-,12.96,8.1%,48.56%
90,Rutger Mcgroarty,F,"6'1""",205,3,"ahl, nhl",Wilkes-Barre/Scranton Penguins,Winnipeg Jets,21.93,8.08%,68.07%
91,Joakim Kemell,F,"5'11""",183,3,ahl,Milwaukee Admirals,Nashville Predators,19.65,7.97%,44.12%
92,Lukas Dragicevic,D,"6'2""",196,2,whl,Prince Albert Raiders,Seattle Kraken,12.29,7.94%,63.12%
93,Max Plante,F,"5'11""",176,1,"wjc-20, ncaa",Univ. of Minnesota-Duluth,Detroit Red Wings,17.62,7.72%,39.67%
94,Luca Marrelli,D,"6'2""",185,1,ohl,Oshawa Generals,Columbus Blue Jackets,13.05,7.43%,75.82%
95,Tristan Luneau,D,"6'1""",194,3,"ahl, nhl",San Diego Gulls,Anaheim Ducks,25.55,7.19%,91.07%
96,Ville Koivunen,F,"6'0""",172,4,"ahl, nhl",Wilkes-Barre/Scranton Penguins,Carolina Hurricanes,33.27,7.04%,80.22%
22,Radim Mrtka,D,"6'6""",218,0,"czech-u20, wjc-18, czech, whl",Seattle Thunderbirds,-,7.67,6.97%,70.53%
98,Matvei Gridin,F,"6'1""",190,1,qmjhl,Shawinigan Cataractes,Calgary Flames,13.02,6.88%,36.01%
99,Tanner Howe,F,"5'11""",183,1,"wjc-20, whl",totals,Pittsburgh Penguins,10.67,6.83%,11.8%
100,Nick Lardis,F,"5'11""",185,2,ohl,Brantford Bulldogs,Chicago Blackhawks,21.26,6.67%,51.47%
23,Cameron Reid,D,"6'0""",174,0,ohl,Kitchener Rangers,-,9.52,6.5%,52.54%
102,Ryder Ritchie,F,"6'1""",185,1,whl,Medicine Hat Tigers,Minnesota Wild,13.33,6.38%,35.71%
103,Magomed Sharakanov,D,"6'1""",205,2,khl,Lada Togliatti,-,20.78,6.2%,83.21%
104,Jacob Battaglia,F,"6'1""",203,1,ohl,Kingston Frontenacs,Calgary Flames,15.64,6.19%,43.69%
105,Oliver Moore,F,"5'11""",194,2,"wjc-20, ncaa, nhl",Univ. of Minnesota,Chicago Blackhawks,17.83,6.1%,25.65%
106,Conor Geekie,F,"6'4""",207,3,"ahl, nhl",Tampa Bay Lightning,Arizona Coyotes,23.51,5.98%,70.21%
107,Luke Misa,F,"5'10""",176,1,ohl,Brampton Steelheads,Calgary Flames,14.99,5.97%,20.6%
108,Yegor Savikov,D,"5'10""",179,4,khl,Spartak Moskva,-,21.57,5.93%,26.07%
109,Prokhor Poltapov,F,"6'0""",176,4,khl,CSKA Moskva,Buffalo Sabres,37.22,5.91%,23.32%
110,Topias Hynninen,F,"5'11""",176,1,"wjc-20, liiga",Jukurit,-,23.77,5.91%,52.52%
24,Jordan Gavin,F,"5'11""",187,0,whl,totals,-,9.71,5.74%,14.73%
112,Jonathan Lekkerimaki,F,"5'11""",172,3,"ahl, nhl",Abbotsford Canucks,Vancouver Canucks,23.1,5.73%,55.58%
113,Sacha Boisvert,F,"6'2""",183,1,ncaa,Univ. of North Dakota,Chicago Blackhawks,13.74,5.65%,35.13%
114,Andrei Krutov,F,"5'11""",181,1,"khl, vhl, mhl",Torpedo-Gorky NN,Carolina Hurricanes,16.4,5.61%,38.47%
25,Aidan Lane,F,"6'2""",192,0,ohl,Brampton Steelheads,-,11.81,5.6%,32.16%
26,Braeden Cootes,F,"6'0""",183,0,"wjc-18, whl",Seattle Thunderbirds,-,12.88,5.6%,28.25%
27,Lev Katzin,F,"5'8""",176,0,"wjc-18, ohl, ushl",Guelph Storm,-,12.47,5.6%,17.39%
118,Oliver Kapanen,F,"6'1""",183,4,"nhl, shl",Timrå IK,Montreal Canadiens,33.11,5.58%,59.59%
119,Adam Mechura,F,"6'5""",214,4,czech,HC Plzeň,-,33.46,5.54%,39.68%
120,Nate Danielson,F,"6'2""",187,2,ahl,Grand Rapids Griffins,Detroit Red Wings,17.54,5.5%,32.93%
121,Mavrik Bourque,F,"5'10""",192,5,nhl,Dallas Stars,Dallas Stars,28.08,5.43%,48.26%
28,Bill Zonnon,F,"6'2""",190,0,qmjhl,Rouyn-Noranda Huskies,-,11.97,5.39%,26.76%
123,Justin Poirier,F,"5'9""",183,1,qmjhl,Baie-Comeau Drakkar,Carolina Hurricanes,12.73,5.36%,19.06%
124,Ivan Miroshnichenko,F,"6'1""",194,3,"ahl, nhl",Hershey Bears,Washington Capitals,23.51,5.35%,37.25%
125,Aatu Raty,F,"6'2""",190,4,"ahl, nhl",Abbotsford Canucks,New York Islanders,28.68,5.29%,72.84%
126,Viljami Marjala,F,"6'1""",176,4,liiga,TPS,Buffalo Sabres,34.84,5.24%,37.12%
127,Jimmy Snuggerud,F,"6'2""",187,3,"ncaa, nhl",Univ. of Minnesota,St. Louis Blues,24.22,5.15%,71.03%
128,Trevor Connelly,F,"6'1""",165,1,"wjc-20, ncaa, ahl",Providence College,Vegas Golden Knights,11.74,5.09%,22.07%
129,Hunter Brzustewicz,D,"6'0""",194,2,ahl,Calgary Wranglers,Vancouver Canucks,14.6,5.04%,84.66%
130,Tomas Cibulka,D,"6'0""",170,3,czech,HC Motor České Budějovice,-,22.23,4.97%,10.94%
131,Reid Schaefer,F,"6'4""",218,3,ahl,Milwaukee Admirals,Edmonton Oilers,23.53,4.95%,39.85%
132,Carson Rehkopf,F,"6'2""",201,2,ohl,Brampton Steelheads,Seattle Kraken,17.82,4.89%,49.03%
29,Jack Murtagh,F,"6'1""",198,0,"wjc-18, ushl, usdp",U.S. National U18 Team,-,9.26,4.8%,26.98%
134,Timur Kol,D,"6'4""",205,1,"khl, mhl",SKA-1946 St. Petersburg,Carolina Hurricanes,3.05,4.8%,15.0%
135,Yaroslav Tsulygin,D,"6'2""",187,3,khl,Salavat Yulaev Ufa,-,18.55,4.74%,24.9%
30,Jakob Ihs-Wozniak,F,"6'2""",190,0,"wjc-18, superelit, shl",Luleå HF J20,-,9.96,4.6%,24.6%
137,Simon Forsmark,D,"6'2""",192,3,shl,Timrå IK,Carolina Hurricanes,21.78,4.58%,28.3%
138,Isaac Howard,F,"5'11""",190,3,ncaa,Michigan State Univ.,Tampa Bay Lightning,22.33,4.56%,16.77%
139,Sam Rinzel,D,"6'4""",190,3,"ncaa, nhl",Univ. of Minnesota,Chicago Blackhawks,18.74,4.55%,44.76%
140,Brayden Yager,F,"6'0""",170,2,"wjc-20, whl",totals,Pittsburgh Penguins,17.22,4.54%,35.19%
31,Cole Mckinney,F,"6'0""",201,0,"wjc-18, ushl, usdp",U.S. National U18 Team,-,10.75,4.4%,22.6%
142,Calum Ritchie,F,"6'2""",190,2,"wjc-20, nhl, ohl",Oshawa Generals,Colorado Avalanche,16.15,4.32%,43.23%
143,Clarke Caswell,F,"5'11""",181,1,whl,Swift Current Broncos,Seattle Kraken,14.97,4.25%,22.62%
32,Michael Dec,F,"5'9""",152,0,ohl,Owen Sound Attack,-,13.29,4.24%,10.84%
145,Mac Swanson,F,"5'7""",165,1,ncaa,Univ. of North Dakota,Pittsburgh Penguins,7.53,4.22%,3.22%
146,Jett Luchanko,F,"5'11""",190,1,"wjc-20, ahl, ohl",Guelph Storm,Philadelphia Flyers,12.99,4.19%,27.13%
33,Alex Zharovsky,F,"6'1""",163,0,mhl,Tolpar Ufa,-,13.07,4.13%,25.32%
148,Ryan Conmy,F,"5'10""",190,2,ncaa,Univ. of New Hampshire,Los Angeles Kings,15.42,4.11%,12.31%
149,Petr Sikora,F,"6'0""",194,1,"wjc-20, czech",HC Oceláři Třinec,Washington Capitals,21.26,4.11%,44.97%
150,Miguel Marques,F,"5'11""",185,1,whl,Lethbridge Hurricanes,Nashville Predators,15.18,4.1%,25.43%
151,Liam Ohgren,F,"6'1""",187,3,"ahl, nhl",Iowa Wild,Minnesota Wild,24.48,4.09%,36.79%
152,Brodie Ziemer,F,"5'11""",190,1,"wjc-20, ncaa",Univ. of Minnesota,Buffalo Sabres,11.55,4.09%,13.37%
153,David Edstrom,F,"6'3""",190,2,"wjc-20, shl",Frölunda HC,Vegas Golden Knights,22.04,3.99%,64.42%
154,Josh Doan,F,"6'2""",198,5,"ahl, nhl",Utah Hockey Club,Arizona Coyotes,30.23,3.94%,53.39%
155,Vladislav Romanov,F,"6'2""",192,3,vhl,SKA-Neva St. Petersburg,-,28.02,3.91%,29.29%
156,Mikhail Gulyayev,D,"5'11""",183,2,khl,Avangard Omsk,Colorado Avalanche,14.17,3.91%,69.95%
157,Teddy Stiga,F,"5'10""",179,1,"wjc-20, ncaa",Boston College,Nashville Predators,12.92,3.81%,15.71%
158,Maxim Masse,F,"6'2""",194,1,qmjhl,Chicoutimi Saguenéens,Anaheim Ducks,11.58,3.78%,21.81%
34,Ryker Lee,F,"6'0""",181,0,ushl,Madison Capitols,-,13.76,3.77%,20.89%
160,Eduard Sale,F,"6'1""",170,2,"wjc-20, ahl",Coachella Valley Firebirds,Seattle Kraken,14.61,3.73%,19.79%
35,Lucas Karmiris,F,"5'11""",190,0,ohl,Brampton Steelheads,-,10.34,3.72%,10.82%
162,Colby Barlow,F,"6'1""",194,2,ohl,Oshawa Generals,Winnipeg Jets,11.62,3.7%,18.49%
163,Mazden Leslie,D,"6'1""",201,2,whl,Vancouver Giants,-,12.64,3.65%,36.46%
164,Scott Morrow,D,"6'2""",194,4,"ahl, nhl",Chicago Wolves,Carolina Hurricanes,26.32,3.65%,76.43%
165,Yegor Borikov,F,"6'0""",185,2,khl,Dinamo Minsk,-,23.61,3.62%,46.6%
166,Alex Rykov,F,"5'11""",170,2,"khl, vhl",Traktor Chelyabinsk,Carolina Hurricanes,17.19,3.6%,42.52%
167,Kieron Walton,F,"6'6""",212,1,ohl,Sudbury Wolves,Winnipeg Jets,16.47,3.57%,60.65%
168,Tarin Smith,D,"6'2""",190,1,whl,Everett Silvertips,Anaheim Ducks,10.69,3.57%,42.16%
169,Nathan Villeneuve,F,"6'0""",194,1,"ahl, ohl",Sudbury Wolves,Seattle Kraken,13.85,3.56%,23.84%
36,Filip Ekberg,F,"5'10""",168,0,"wjc-18, ohl",Ottawa 67's,-,12.18,3.55%,15.73%
171,Sasha Pastujov,F,"6'0""",187,4,"ahl, echl",San Diego Gulls,Anaheim Ducks,29.63,3.55%,41.14%
172,Vladimir Grudinin,D,"5'10""",157,3,khl,Severstal Cherepovets,Carolina Hurricanes,14.06,3.54%,1.66%
173,Aron Kiviharju,D,"5'10""",181,1,"wjc-20, liiga",HIFK,Minnesota Wild,10.93,3.51%,44.5%
174,Fyodor Svechkov,F,"6'0""",187,4,"ahl, nhl",Nashville Predators,Nashville Predators,27.34,3.39%,59.78%
37,Philippe Veilleux,F,"5'9""",165,0,qmjhl,Val-d'Or Foreurs,-,12.54,3.39%,12.77%
38,Sascha Boumedienne,D,"6'2""",183,0,"wjc-18, ncaa",Boston Univ.,-,7.7,3.36%,40.82%
177,Ivan Gavrilov,F,"6'1""",207,2,"vhl, mhl",MHK Spartak Moskva,-,12.95,3.35%,22.67%
178,Jordan Dumais,F,"5'9""",174,3,ahl,Cleveland Monsters,Columbus Blue Jackets,16.73,3.3%,20.53%
179,Ryan Mcallister,F,"5'10""",183,5,ahl,Charlotte Checkers,-,29.94,3.21%,6.96%
180,Aydar Suniev,F,"6'2""",198,2,ncaa,UMass,Calgary Flames,17.25,3.17%,23.05%
181,Jakub Fibigr,D,"6'0""",172,1,"wjc-20, ohl",Brampton Steelheads,Seattle Kraken,7.69,3.15%,10.41%
182,Artyom Duda,D,"6'1""",187,3,ahl,Tucson Roadrunners,Arizona Coyotes,13.23,3.1%,36.27%
183,Easton Cowan,F,"5'11""",185,2,"wjc-20, ohl",London Knights,Toronto Maple Leafs,17.28,3.09%,33.62%
184,Matvei Babenko,F,"6'3""",201,1,mhl,Tolpar Ufa,-,14.37,3.09%,21.94%
185,Julius Miettinen,F,"6'4""",207,1,"wjc-20, whl",Everett Silvertips,Seattle Kraken,11.53,3.07%,26.54%
186,Martin Johnsen,F,"5'11""",181,3,allsvenskan,Mora IK,-,27.63,3.05%,20.26%
187,Cole Beaudoin,F,"6'2""",209,1,"wjc-20, ohl",Barrie Colts,Utah Mammoth,10.96,3.03%,22.43%
188,Nikita Grebyonkin,F,"6'2""",209,4,"ahl, nhl",totals,Toronto Maple Leafs,15.69,3.03%,78.8%
189,Otto Salin,D,"5'11""",192,3,liiga,TPS,Los Angeles Kings,18.09,3.03%,45.56%
190,Leo Sahlin Wallenius,D,"6'0""",183,1,"allsvenskan, liiga, superelit, shl",Växjö Lakers HC,San Jose Sharks,13.74,3.0%,63.34%
191,Shakir Mukhamadullin,D,"6'4""",179,5,"ahl, nhl",San Jose Sharks,New Jersey Devils,20.11,2.99%,72.34%
192,Gavin Hodnett,F,"5'8""",161,1,whl,Edmonton Oil Kings,-,11.77,2.95%,6.69%
39,Adam Benak,F,"5'7""",163,0,ushl,Youngstown Phantoms,-,12.36,2.92%,9.03%
40,L.J. Mooney,F,"5'7""",157,0,"wjc-18, ushl, usdp",U.S. National U18 Team,-,11.41,2.88%,7.13%
41,Daniil Prokhorov,F,"6'6""",218,0,mhl,MHK Dynamo St. Petersburg,-,7.38,2.87%,25.72%
196,Tristan Bertucci,D,"6'2""",187,2,ohl,Barrie Colts,Dallas Stars,8.41,2.87%,21.91%
42,William Moore,F,"6'2""",174,0,"wjc-18, ushl, usdp",U.S. National U18 Team,-,9.96,2.86%,17.64%
198,Logan Mailloux,D,"6'3""",212,4,"ahl, nhl",Laval Rocket,Montreal Canadiens,19.74,2.85%,87.09%
199,Kevin He,F,"6'0""",181,1,ohl,Niagara IceDogs,Winnipeg Jets,14.29,2.81%,20.19%
200,Etienne Morin,D,"6'1""",185,2,qmjhl,Moncton Wildcats,Calgary Flames,8.63,2.79%,15.8%
201,Luke Mistelbacher,F,"6'0""",194,1,whl,Swift Current Broncos,-,16.08,2.79%,20.46%
202,Daniil Gushchin,F,"5'8""",165,5,"ahl, nhl",San Jose Barracuda,San Jose Sharks,25.16,2.77%,14.99%
203,Danny Nelson,F,"6'3""",216,2,"wjc-20, ncaa",Univ. of Notre Dame,New York Islanders,12.69,2.77%,29.03%
204,Daniil Orlov,D,"6'1""",198,3,khl,Spartak Moskva,New Jersey Devils,18.25,2.74%,36.94%
205,Joshua Roy,F,"6'0""",192,4,"ahl, nhl",Laval Rocket,Montreal Canadiens,21.72,2.68%,52.86%
206,Cole Knuble,F,"5'10""",192,3,ncaa,Univ. of Notre Dame,Philadelphia Flyers,18.22,2.67%,12.92%
207,Theo Rochette,F,"5'11""",172,5,nla,Lausanne HC,-,30.69,2.65%,11.06%
208,Isak Rosen,F,"6'0""",174,4,"ahl, nhl",Rochester Americans,Buffalo Sabres,26.64,2.65%,17.68%
209,William Villeneuve,D,"6'2""",187,5,ahl,Toronto Marlies,Toronto Maple Leafs,23.22,2.64%,35.8%
43,Conrad Fondrk,F,"6'0""",192,0,"ushl, usdp",U.S. National U18 Team,-,7.45,2.63%,10.32%
211,Matvei Korotky,F,"6'0""",194,1,"khl, mhl",SKA St. Petersburg,St. Louis Blues,16.39,2.61%,23.53%
212,Lukas Fischer,D,"6'3""",185,1,ohl,Sarnia Sting,St. Louis Blues,8.57,2.6%,27.52%
44,Benjamin Kevan,F,"6'0""",183,0,"wjc-18, ushl, usdp",Des Moines Buccaneers,-,8.0,2.57%,8.42%
214,Yegor Rimashevsky,F,"6'3""",185,2,khl,Dynamo Moskva,San Jose Sharks,16.37,2.56%,39.61%
45,Theo Stockselius,F,"6'3""",196,0,"wjc-18, j18 allsvenskan, superelit",Djurgårdens IF J20,-,9.01,2.54%,22.64%
46,Will Sharpe,D,"6'1""",194,0,whl,totals,-,7.72,2.54%,21.61%
217,Semyon Demidov,F,"5'10""",174,5,vhl,SKA-Neva St. Petersburg,-,29.48,2.53%,12.97%
218,Sam Colangelo,F,"6'2""",212,5,"ahl, nhl",San Diego Gulls,Anaheim Ducks,31.41,2.52%,26.11%
219,Owen Beck,F,"6'0""",198,3,"ahl, nhl",Laval Rocket,Montreal Canadiens,19.57,2.48%,19.81%
47,Shamar Moses,F,"6'1""",203,0,ohl,totals,-,8.59,2.47%,13.61%
48,Blake Fiddler,D,"6'4""",209,0,"wjc-18, whl, usdp",Edmonton Oil Kings,-,5.69,2.46%,32.18%
49,Jeremy Loranger,F,"5'10""",165,0,bchl,Sherwood Park Crusaders,-,12.78,2.46%,14.54%
223,Spencer Gill,D,"6'4""",194,1,qmjhl,Rimouski Océanic,Philadelphia Flyers,6.33,2.44%,14.68%
50,Cullen Potter,F,"5'10""",172,0,"wjc-18, ncaa, usdp",Arizona State Univ.,-,10.15,2.44%,7.78%
225,Andrei Kozlov,F,"5'9""",181,2,khl,Metallurg Magnitogorsk,-,18.61,2.44%,12.16%
